name_a,type_a,name_b,type_b,similarity,tag,model,a_b_type
青 の背景,text,緑 の背景,text,0.9749243855476379,color-filled,base,text-text
青 の背景,text,黄色 の背景,text,0.9820526838302612,color-filled,base,text-text
黒 の背景,text,白 の背景,text,0.9782381653785706,color-filled,base,text-text
黒 の背景,text,緑 の背景,text,0.9712321758270264,color-filled,base,text-text
黒 の背景,text,黄色 の背景,text,0.9858564138412476,color-filled,base,text-text
白 の背景,text,緑 の背景,text,0.9861090183258057,color-filled,base,text-text
白 の背景,text,黄色 の背景,text,0.9861556887626648,color-filled,base,text-text
緑 の背景,text,黄色 の背景,text,0.9812361001968384,color-filled,base,text-text
filled_red.png,image,filled_blue.png,image,0.9348539710044861,color-filled,base,image-image
filled_red.png,image,filled_black.png,image,0.8521154522895813,color-filled,base,image-image
filled_red.png,image,filled_white.png,image,0.8426917195320129,color-filled,base,image-image
filled_red.png,image,filled_green.png,image,0.8923911452293396,color-filled,base,image-image
filled_red.png,image,filled_yellow.png,image,0.932594895362854,color-filled,base,image-image
filled_blue.png,image,filled_black.png,image,0.8541229963302612,color-filled,base,image-image
filled_blue.png,image,filled_white.png,image,0.8541650772094727,color-filled,base,image-image
filled_blue.png,image,filled_green.png,image,0.9071776270866394,color-filled,base,image-image
filled_blue.png,image,filled_yellow.png,image,0.9254712462425232,color-filled,base,image-image
filled_black.png,image,filled_white.png,image,0.8940876126289368,color-filled,base,image-image
filled_black.png,image,filled_green.png,image,0.8052136301994324,color-filled,base,image-image
filled_black.png,image,filled_yellow.png,image,0.8377305269241333,color-filled,base,image-image
filled_white.png,image,filled_green.png,image,0.8010966777801514,color-filled,base,image-image
filled_white.png,image,filled_yellow.png,image,0.8656204342842102,color-filled,base,image-image
filled_green.png,image,filled_yellow.png,image,0.9056861400604248,color-filled,base,image-image
